0,http://www.yannistaverna.com/
1,http://www.starbellysf.com/
2,http://www.manzonirestaurant.com/
3,http://www.macaronigrill.com/
4,https://www.pfchangs.com/locations/us/ca/pleasanton/1330-stoneridge-mall-rd/9819-pleasanton.html
5,https://www.pfchangs.com/locations/us/ca/sunnyvale/390-w-el-camino-real/6900-sunnyvale.html
6,https://www.pfchangs.com/locations/us/ca/palo-alto/900-stanford-shopping-center/9911-palo-alto.html
7,http://www.kenzonapa.com/
8,
9,http://monsoonhimalayancuisine.com/
10,http://www.risepizzeria.com/
